repo_url,default_score,depsdev_dependent_count,legacy_closed_issues_count,legacy_commit_frequency,legacy_contributor_count,legacy_created_since,legacy_github_mention_count,legacy_issue_comment_frequency,legacy_org_count,legacy_recent_release_count,legacy_updated_issues_count,legacy_updated_since,repo_created_at,repo_language,repo_license,repo_star_count,repo_updated_at
https://github.com/isl-org/Open3D,0.62204,,4984,2.23,217,103,44,2.64,8,2,6005,0,2015-07-28T00:31:54Z,C++,Other,10070,2024-01-19T17:17:58Z
https://github.com/libopencm3/libopencm3,0.62718,,575,0.67,259,177,1005,2.7,8,0,772,0,2009-07-15T16:59:07Z,C,GNU General Public License v3.0,2866,2024-01-02T13:59:59Z
https://github.com/topology-tool-kit/ttk,0.59481,,907,10.17,52,84,354,2.25,6,1,925,0,2017-03-05T07:41:40Z,C++,Other,387,2024-01-17T05:33:55Z
https://github.com/CMU-Perceptual-Computing-Lab/openpose,0.62079,,1587,0.15,107,82,610,2.97,9,2,1883,0,2017-04-24T14:06:31Z,C++,Other,29220,2024-01-09T14:04:19Z
https://github.com/jiangwenyuan/nuster,0.58133,,102,0,220,220,56,7.18,5,3,123,26,2005-12-17T11:21:26Z,C,Other,1904,2021-12-07T14:46:05Z
https://github.com/ROCm/HIP,0.67439,,2592,3.46,204,98,3863,1.33,6,9,3023,0,2016-01-07T17:41:56Z,C++,MIT License,3310,2024-01-19T21:37:40Z
https://github.com/FreeFem/FreeFem-sources,0.62091,,255,3.08,40,240,1277,3.29,9,3,296,1,2004-04-26T09:58:47Z,C++,Other,668,2023-12-03T20:03:22Z
https://github.com/the-tcpdump-group/tcpdump,0.625,,422,6.02,211,296,800,4.26,3,1,514,0,1999-10-07T23:47:09Z,C,Other,2464,2024-01-28T16:58:38Z
https://github.com/RcppCore/Rcpp,0.60602,,581,1.25,79,169,278,4.78,6,2,583,0,2010-02-16T15:52:41Z,C++,GNU General Public License v2.0,716,2024-01-09T13:06:32Z
https://github.com/cpputest/cpputest,0.57848,,627,0.13,157,202,259,2.43,6,0,780,3,2007-06-24T05:37:56Z,C++,"BSD 3-Clause ""New"" or ""Revised"" License",1284,2023-10-13T08:54:59Z
https://github.com/erthink/libmdbx,0.60384,,223,0,29,110,3673,4.22,7,4,245,21,2015-01-07T13:49:50Z,C,Other,1121,2022-04-13T08:05:50Z
https://github.com/intel/intel-graphics-compiler,0.67922,,286,51.08,277,77,2898,4.25,2,12,311,0,2017-09-29T17:27:54Z,C++,Other,553,2024-01-17T20:16:23Z
https://github.com/KiCad/kicad-source-mirror,0.64602,,10,92.77,832,203,964,0.4,5,9,10,0,2007-05-06T16:03:28Z,C++,GNU General Public License v3.0,1577,2024-01-30T23:06:58Z
https://github.com/dankamongmen/notcurses,0.65944,,2434,0.42,39,51,2421,4.49,9,32,2680,0,2019-11-17T02:38:24Z,C,Other,3018,2024-01-10T03:14:49Z
